class,FID,KID_mean,KID_std,MMD_RBF,Sliced_Wasserstein,KL_Gauss
diamond,188.3807576857606,0.05851279973983765,0.007359603542379208,0.05421727895736694,0.33952765164684684,25063501.52216004
dishwasher,206.11019265347687,0.08534775257110595,0.011659985597700323,0.0955195426940918,0.3808296749929865,30346722.523445673
diving_board,195.81501077845695,0.07336484670639037,0.009203853248508516,0.07284742593765259,0.37031202181717976,21612121.061264955
dog,273.3899660540111,0.16143028259277345,0.00663916143827934,0.20976489782333374,0.5218083585071139,25895393.98008308
dolphin,256.7577107142496,0.19653716087341308,0.011044772615041736,0.2817017734050751,0.39512299698840386,24371349.846694414
donut,202.52919699624636,0.10819553613662719,0.012431081147129009,0.12608963251113892,0.3873169809962616,18178293.990117155
door,165.5410862960619,0.03696647882461548,0.00654394031084297,0.034288108348846436,0.39535015049278394,23560355.461901866
dragon,214.68138805654274,0.11023895978927613,0.0116394121371382,0.13980591297149658,0.4417666009040482,15792796.942914998
dresser,196.26560544351565,0.09229331493377685,0.010585497411729764,0.148297518491745,0.3184196990263404,43305939.21214134
drill,176.15016143684701,0.056645214557647705,0.007844391192654787,0.06937116384506226,0.358869040539913,24416673.550563812
drums,218.87927955413312,0.1499481749534607,0.013949636268540887,0.2095291018486023,0.3197849676907685,23458642.04137036
duck,201.23161293334346,0.11962025403976441,0.014319888437273205,0.1736205816268921,0.30268933140106224,27361254.807456627
dumbbell,186.08802867693703,0.13056533813476562,0.02046592411063803,0.11965900659561157,0.23020839181963332,25642681.662137836
ear,239.06994782097624,0.08438016414642334,0.01058353486971974,0.08393728733062744,0.3810644111211018,35695360.73357296
elbow,201.3596181400012,0.053921854496002196,0.006733671461271108,0.053526341915130615,0.25809616784731815,36429769.94354754
elephant,298.11323841568185,0.2551520085334778,0.02026499100429166,0.3555147349834442,0.38674589286602445,24302170.63865079
envelope,172.2324828221565,0.05264527082443237,0.008955238704007348,0.05579078197479248,0.381303269907692,17659422.109572235
eraser,167.7412313942108,0.04053676605224609,0.007546916247837279,0.03818744421005249,0.2989495058370218,30437648.82723498
eye,285.7340031463632,0.1219457745552063,0.010944439383235822,0.10920578241348267,0.4908726702789328,21867288.191954825
eyeglasses,141.37533923885007,0.049386742115020754,0.010894850814109338,0.07518661022186279,0.2940365522648841,19833501.366911642
